index,year,oscars_held,category,name,film_title,character_name,honorary_statement,description,note,act_dir,winner_type
499,1950,23,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck,,,,,,False,Single Winner
500,1950,23,MUSIC (Music Score of a Dramatic or Comedy Picture),Franz Waxman,Sunset Blvd.,,,,,False,Single Winner
501,1950,23,MUSIC (Scoring of a Musical Picture),"Adolph Deutsch, Roger Edens",Annie Get Your Gun,,,,,False,Single Winner
502,1950,23,MUSIC (Song),Music and Lyrics by Ray Evans and Jay Livingston,"Captain Carey, U.S.A.",,,,,False,Single Winner
503,1950,23,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,To JAMES B. GORDON and the 20TH CENTURY-FOX STUDIO CAMERA DEPARTMENT for the design and development of a multiple image film viewer.,,,False,Single Winner
504,1950,23,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",Gerald McBoing-Boing,,,,,False,Single Winner
505,1950,23,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer",Grandad of Races,,,,,False,Single Winner
506,1950,23,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",In Beaver Valley,,,,,False,Single Winner
507,1950,23,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",All about Eve,,,,,False,Single Winner
508,1950,23,SPECIAL EFFECTS,George Pal Productions,Destination Moon,,,,,False,Single Winner
509,1950,23,WRITING (Motion Picture Story),"Edna Anhalt, Edward Anhalt",Panic in the Streets,,,,,False,Single Winner
510,1950,23,WRITING (Screenplay),Joseph L. Mankiewicz,All about Eve,,,,,False,Single Winner
511,1950,23,WRITING (Story and Screenplay),"Charles Brackett, Billy Wilder, D. M. Marshman, Jr.",Sunset Blvd.,,,,,False,Single Winner
512,1951,24,ACTOR,Humphrey Bogart,The African Queen,Charlie Allnut,,,,True,Single Winner
513,1951,24,ACTOR IN A SUPPORTING ROLE,Karl Malden,A Streetcar Named Desire,Mitch,,,,True,Single Winner
514,1951,24,ACTRESS,Vivien Leigh,A Streetcar Named Desire,Blanche DuBois,,,,True,Single Winner
515,1951,24,ACTRESS IN A SUPPORTING ROLE,Kim Hunter,A Streetcar Named Desire,Stella Kowalski,,,,True,Single Winner
516,1951,24,ART DIRECTION (Black-and-White),Art Direction:  Richard Day;  Set Decoration:  George James Hopkins,A Streetcar Named Desire,,,,,True,Single Winner
517,1951,24,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Preston Ames;  Set Decoration:  Edwin B. Willis, Keogh Gleason",An American in Paris,,,,,True,Single Winner
518,1951,24,BEST MOTION PICTURE,"Arthur Freed, Producer",An American in Paris,,,,,False,Single Winner
519,1951,24,CINEMATOGRAPHY (Black-and-White),William C. Mellor,A Place in the Sun,,,,,False,Single Winner
520,1951,24,CINEMATOGRAPHY (Color),Alfred Gilks; Ballet Photography by John Alton,An American in Paris,,,,,False,Single Winner
521,1951,24,COSTUME DESIGN (Black-and-White),Edith Head,A Place in the Sun,,,,,False,Single Winner
522,1951,24,COSTUME DESIGN (Color),"Orry-Kelly, Walter Plunkett, Irene Sharaff",An American in Paris,,,,,False,Single Winner
523,1951,24,DIRECTING,George Stevens,A Place in the Sun,,,,,True,Single Winner
524,1951,24,DOCUMENTARY (Feature),"Olle Nordemar, Producer",Kon-Tiki,,,,,False,Single Winner
525,1951,24,DOCUMENTARY (Short Subject),'Made by Fred Zinnemann with the cooperation of Paramount Pictures Corporation for the Los Angeles Orthopaedic Hospital',Benjy,,,,,False,Single Winner
526,1951,24,FILM EDITING,William Hornbeck,A Place in the Sun,,,,,False,Single Winner
527,1951,24,HONORARY AWARD,,,,"To Gene Kelly in appreciation of his versatility as an actor, singer, director and dancer, and specifically for his brilliant achievements in the art of choreography on film.",,,False,Single Winner
528,1951,24,HONORARY FOREIGN LANGUAGE FILM AWARD,,,,To Rashomon - voted by the Board of Governors as the most outstanding foreign language film released in the United States during 1951.,,,False,Single Winner
529,1951,24,IRVING G. THALBERG MEMORIAL AWARD,Arthur Freed,,,,,,False,Single Winner
530,1951,24,MUSIC (Music Score of a Dramatic or Comedy Picture),Franz Waxman,A Place in the Sun,,,,,False,Single Winner
531,1951,24,MUSIC (Scoring of a Musical Picture),"Johnny Green, Saul Chaplin",An American in Paris,,,,,False,Single Winner
532,1951,24,MUSIC (Song),Music by Hoagy Carmichael; Lyrics by Johnny Mercer,Here Comes the Groom,,,,,False,Single Winner
533,1951,24,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,"To GORDON JENNINGS, S. L. STANCLIFFE and the PARAMOUNT STUDIO SPECIAL PHOTOGRAPHIC and ENGINEERING DEPARTMENTS for the design, construction and application of a servo-operated recording and repeating device.",,,False,Single Winner
534,1951,24,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,"To RICHARD M. HAFF, FRANK P. HERRNFELD, GARLAND C. MISENER and the ANSCO FILM DIVISION OF GENERAL ANILINE AND FILM CORPORATION for the development of the Ansco color scene tester.",,,False,Single Winner
535,1951,24,SHORT SUBJECT (Cartoon),"Fred Quimby, Producer",The Two Mouseketeers,,,,,False,Single Winner
536,1951,24,SHORT SUBJECT (One-reel),"Robert Youngson, Producer",World of Kids,,,,,False,Single Winner
537,1951,24,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",Nature's Half Acre,,,,,False,Single Winner
538,1951,24,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Great Caruso,,,,,False,Single Winner
539,1951,24,SPECIAL EFFECTS,Paramount,When Worlds Collide,,,,,False,Single Winner
540,1951,24,WRITING (Motion Picture Story),"Paul Dehn, James Bernard",Seven Days to Noon,,,,,False,Single Winner
541,1951,24,WRITING (Screenplay),"Michael Wilson, Harry Brown",A Place in the Sun,,,,,False,Single Winner
542,1951,24,WRITING (Story and Screenplay),Alan Jay Lerner,An American in Paris,,,,,False,Single Winner
543,1952,25,ACTOR,Gary Cooper,High Noon,Will Kane,,,,True,Single Winner
544,1952,25,ACTOR IN A SUPPORTING ROLE,Anthony Quinn,Viva Zapata!,Eufemio Zapata,,,,True,Single Winner
545,1952,25,ACTRESS,Shirley Booth,"Come Back, Little Sheba",Lola Delaney,,,,True,Single Winner
546,1952,25,ACTRESS IN A SUPPORTING ROLE,Gloria Grahame,The Bad and the Beautiful,Rosemary Bartlow,,,,True,Single Winner
547,1952,25,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, Edward Carfagno;  Set Decoration:  Edwin B. Willis, Keogh Gleason",The Bad and the Beautiful,,,,,True,Single Winner
548,1952,25,ART DIRECTION (Color),Art Direction:  Paul Sheriff;  Set Decoration:  Marcel Vertes,Moulin Rouge,,,,,True,Single Winner
549,1952,25,BEST MOTION PICTURE,"Cecil B. DeMille, Producer",The Greatest Show on Earth,,,,,False,Single Winner
550,1952,25,CINEMATOGRAPHY (Black-and-White),Robert Surtees,The Bad and the Beautiful,,,,,False,Single Winner
551,1952,25,CINEMATOGRAPHY (Color),"Winton C. Hoch, Archie Stout",The Quiet Man,,,,,False,Single Winner
552,1952,25,COSTUME DESIGN (Black-and-White),Helen Rose,The Bad and the Beautiful,,,,,False,Single Winner
553,1952,25,COSTUME DESIGN (Color),Marcel Vertes,Moulin Rouge,,,,,False,Single Winner
554,1952,25,DIRECTING,John Ford,The Quiet Man,,,,,True,Single Winner
555,1952,25,DOCUMENTARY (Feature),"Irwin Allen, Producer",The Sea around Us,,,,,False,Single Winner
556,1952,25,DOCUMENTARY (Short Subject),"Norman McLaren, Producer",Neighbours,,,,,False,Single Winner
557,1952,25,FILM EDITING,"Elmo Williams, Harry Gerstad",High Noon,,,,,False,Single Winner
558,1952,25,HONORARY AWARD,,,,To George Alfred Mitchell for the design and development of the camera which bears his name and for his continued and dominant presence in the field of cinematography.,,,False,Single Winner
559,1952,25,HONORARY FOREIGN LANGUAGE FILM AWARD,,,,Forbidden Games - Best Foreign Language Film first released in the United States during 1952.,,,False,Single Winner
560,1952,25,IRVING G. THALBERG MEMORIAL AWARD,Cecil B. DeMille,,,,,,False,Single Winner
561,1952,25,MUSIC (Music Score of a Dramatic or Comedy Picture),Dimitri Tiomkin,High Noon,,,,,False,Single Winner
562,1952,25,MUSIC (Scoring of a Musical Picture),Alfred Newman,With a Song in My Heart,,,,,False,Single Winner
563,1952,25,MUSIC (Song),Music by Dimitri Tiomkin; Lyrics by Ned Washington,High Noon,,,,,False,Single Winner
564,1952,25,SCIENTIFIC OR TECHNICAL AWARD (Class I),,,,To EASTMAN KODAK COMPANY for the introduction of Eastman color negative and Eastman color print film.,,,False,Single Winner
565,1952,25,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,To TECHNICOLOR MOTION PICTURE CORPORATION for an improved method of color motion picture photography under incandescent light.,,,False,Single Winner
566,1952,25,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,"To the PROJECTION, STILL PHOTOGRAPHIC and DEVELOPMENT ENGINEERING DEPARTMENTS of METRO-GOLDWYN-MAYER STUDIO for an improved method of projecting photographic backgrounds.",,,False,Single Winner
567,1952,25,SHORT SUBJECT (Cartoon),"Fred Quimby, Producer",Johann Mouse,,,,,False,Single Winner
568,1952,25,SHORT SUBJECT (One-reel),"Boris Vermont, Producer",Light in the Window: The Art of Vermeer,,,,,False,Single Winner
569,1952,25,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",Water Birds,,,,,False,Single Winner
570,1952,25,SOUND RECORDING,London Film Sound Department,Breaking the Sound Barrier,,,,,False,Single Winner
571,1952,25,SPECIAL EFFECTS,Metro-Goldwyn-Mayer,Plymouth Adventure,,,,,False,Single Winner
572,1952,25,WRITING (Motion Picture Story),"Fredric M. Frank, Theodore St. John, Frank Cavett",The Greatest Show on Earth,,,,,False,Single Winner
573,1952,25,WRITING (Screenplay),Charles Schnee,The Bad and the Beautiful,,,,,False,Single Winner
574,1952,25,WRITING (Story and Screenplay),T. E. B. Clarke,The Lavender Hill Mob,,,,,False,Single Winner
575,1953,26,ACTOR,William Holden,Stalag 17,Sefton,,,,True,Single Winner
576,1953,26,ACTOR IN A SUPPORTING ROLE,Frank Sinatra,From Here to Eternity,Angelo Maggio,,,,True,Single Winner
577,1953,26,ACTRESS,Audrey Hepburn,Roman Holiday,Princess Anne,,,,True,Single Winner
578,1953,26,ACTRESS IN A SUPPORTING ROLE,Donna Reed,From Here to Eternity,Lorene/Alma,,,,True,Single Winner
579,1953,26,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, Edward Carfagno;  Set Decoration:  Edwin B. Willis, Hugh Hunt",Julius Caesar,,,,,True,Single Winner
580,1953,26,ART DIRECTION (Color),"Art Direction:  Lyle Wheeler, George W. Davis;  Set Decoration:  Walter M. Scott, Paul S. Fox",The Robe,,,,,True,Single Winner
581,1953,26,BEST MOTION PICTURE,"Buddy Adler, Producer",From Here to Eternity,,,,,False,Single Winner
582,1953,26,CINEMATOGRAPHY (Black-and-White),Burnett Guffey,From Here to Eternity,,,,,False,Single Winner
583,1953,26,CINEMATOGRAPHY (Color),Loyal Griggs,Shane,,,,,False,Single Winner
584,1953,26,COSTUME DESIGN (Black-and-White),Edith Head,Roman Holiday,,,,,False,Single Winner
585,1953,26,COSTUME DESIGN (Color),"Charles LeMaire, Emile Santiago",The Robe,,,,,False,Single Winner
586,1953,26,DIRECTING,Fred Zinnemann,From Here to Eternity,,,,,True,Single Winner
587,1953,26,DOCUMENTARY (Feature),"Walt Disney, Producer",The Living Desert,,,,,False,Single Winner
588,1953,26,DOCUMENTARY (Short Subject),"Walt Disney, Producer",The Alaskan Eskimo,,,,,False,Single Winner
589,1953,26,FILM EDITING,William Lyon,From Here to Eternity,,,,,False,Single Winner
590,1953,26,HONORARY AWARD,,,,"To Pete Smith for his witty and pungent observations on the American scene in his series of ""Pete Smith Specialties.",,,False,Single Winner
591,1953,26,IRVING G. THALBERG MEMORIAL AWARD,George Stevens,,,,,,False,Single Winner
592,1953,26,MUSIC (Music Score of a Dramatic or Comedy Picture),Bronislau Kaper,Lili,,,,,False,Single Winner
593,1953,26,MUSIC (Scoring of a Musical Picture),Alfred Newman,Call Me Madam,,,,,False,Single Winner
594,1953,26,MUSIC (Song),Music by Sammy Fain; Lyrics by Paul Francis Webster,Calamity Jane,,,,,False,Single Winner
595,1953,26,SCIENTIFIC OR TECHNICAL AWARD (Class I),,,,"To PROFESSOR HENRI CHRETIEN and EARL SPONABLE, SOL HALPRIN, LORIN GRIGNON, HERBERT BRAGG and CARL FAULKNER of 20th Century-Fox Studios for creating, developing and engineering the equipment, processes and techniques known as CinemaScope.",,,False,Single Winner
596,1953,26,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,To REEVES SOUNDCRAFT CORPORATION for their development of a process of applying stripes of magnetic oxide to motion picture film for sound recording and reproduction.,,,False,Single Winner
597,1953,26,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,To WESTREX CORPORATION for the design and construction of a new film editing machine.,,,False,Single Winner
598,1953,26,SHORT SUBJECT (Cartoon),"Walt Disney, Producer","Toot, Whistle, Plunk and Boom",,,,,False,Single Winner
599,1953,26,SHORT SUBJECT (One-reel),"Johnny Green, Producer",The Merry Wives of Windsor Overture,,,,,False,Single Winner
600,1953,26,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",Bear Country,,,,,False,Single Winner
601,1953,26,SOUND RECORDING,"Columbia Studio Sound Department, John P. Livadary, Sound Director",From Here to Eternity,,,,,False,Single Winner
602,1953,26,SPECIAL EFFECTS,Paramount Studio,The War of the Worlds,,,,,False,Single Winner
603,1953,26,WRITING (Motion Picture Story),Dalton Trumbo,Roman Holiday,,,,"The screen credit and award were originally credited to Ian McLellan Hunter, who was a ""front"" for Dalton Trumbo.  On December 15, 1992, the Academy's Board of Governors voted to change the records and award Mr. Trumbo with the achievement.  Ian McLellan Hunter's name was removed from the Motion Picture Story category.  The Oscar was posthumously presented to Trumbo's widow on May 10, 1993.",False,Single Winner
604,1953,26,WRITING (Screenplay),Daniel Taradash,From Here to Eternity,,,,,False,Single Winner
605,1953,26,WRITING (Story and Screenplay),"Charles Brackett, Walter Reisch, Richard Breen",Titanic,,,,,False,Single Winner
606,1954,27,ACTOR,Marlon Brando,On the Waterfront,Terry Malloy,,,,True,Single Winner
607,1954,27,ACTOR IN A SUPPORTING ROLE,Edmond O'Brien,The Barefoot Contessa,Oscar Muldoon,,,,True,Single Winner
608,1954,27,ACTRESS,Grace Kelly,The Country Girl,Georgie Elgin,,,,True,Single Winner
609,1954,27,ACTRESS IN A SUPPORTING ROLE,Eva Marie Saint,On the Waterfront,Edie Doyle,,,,True,Single Winner
610,1954,27,ART DIRECTION (Black-and-White),Richard Day,On the Waterfront,,,,,True,Single Winner
611,1954,27,ART DIRECTION (Color),Art Direction:  John Meehan;  Set Decoration:  Emile Kuri,"20,000 Leagues under the Sea",,,,,True,Single Winner
612,1954,27,BEST MOTION PICTURE,"Sam Spiegel, Producer",On the Waterfront,,,,,False,Single Winner
613,1954,27,CINEMATOGRAPHY (Black-and-White),Boris Kaufman,On the Waterfront,,,,,False,Single Winner
614,1954,27,CINEMATOGRAPHY (Color),Milton Krasner,Three Coins in the Fountain,,,,,False,Single Winner
615,1954,27,COSTUME DESIGN (Black-and-White),Edith Head,Sabrina,,,,,False,Single Winner
616,1954,27,COSTUME DESIGN (Color),Sanzo Wada,Gate of Hell,,,,,False,Single Winner
617,1954,27,DIRECTING,Elia Kazan,On the Waterfront,,,,,True,Single Winner
618,1954,27,DOCUMENTARY (Feature),"Walt Disney, Producer",The Vanishing Prairie,,,,,False,Single Winner
619,1954,27,DOCUMENTARY (Short Subject),World Wide Pictures and Morse Films,Thursday's Children,,,,,False,Single Winner
620,1954,27,FILM EDITING,Gene Milford,On the Waterfront,,,,,False,Single Winner
621,1954,27,HONORARY AWARD,,,,To Bausch & Lomb Optical Company for their contributions to the advancement of the motion picture industry.,,,False,Single Winner
622,1954,27,HONORARY FOREIGN LANGUAGE FILM AWARD,,,,To Gate of Hell - Best Foreign Language Film first released in the United States during 1954.,,,False,Single Winner
623,1954,27,MUSIC (Music Score of a Dramatic or Comedy Picture),Dimitri Tiomkin,The High and the Mighty,,,,,False,Single Winner
624,1954,27,MUSIC (Scoring of a Musical Picture),"Adolph Deutsch, Saul Chaplin",Seven Brides for Seven Brothers,,,,,False,Single Winner
625,1954,27,MUSIC (Song),Music by Jule Styne; Lyrics by Sammy Cahn,Three Coins in the Fountain,,,,,False,Single Winner
626,1954,27,SCIENTIFIC OR TECHNICAL AWARD (Class I),,,,"To PARAMOUNT PICTURES, INC., LOREN L. RYDER, JOHN R. BISHOP and all the members of the technical and engineering staff for developing a method of producing and exhibiting motion pictures known as VistaVision.",,,False,Single Winner
627,1954,27,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,To DAVID S. HORSLEY and the UNIVERSAL-INTERNATIONAL STUDIO SPECIAL PHOTOGRAPHIC DEPARTMENT for a portable remote control device for process projectors.,,,False,Single Winner
628,1954,27,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",When Magoo Flew,,,,,False,Single Winner
629,1954,27,SHORT SUBJECT (One-reel),"Robert Youngson, Producer",This Mechanical Age,,,,,False,Single Winner
630,1954,27,SHORT SUBJECT (Two-reel),"Denis Sanders and Terry Sanders, Producers",A Time Out of War,,,,,False,Single Winner
631,1954,27,SOUND RECORDING,"Universal-International Studio Sound Department, Leslie I. Carey, Sound Director",The Glenn Miller Story,,,,,False,Single Winner
632,1954,27,SPECIAL EFFECTS,Walt Disney Studios,"20,000 Leagues under the Sea",,,,,False,Single Winner
633,1954,27,WRITING (Motion Picture Story),Philip Yordan,Broken Lance,,,,,False,Single Winner
634,1954,27,WRITING (Screenplay),George Seaton,The Country Girl,,,,,False,Single Winner
635,1954,27,WRITING (Story and Screenplay),Budd Schulberg,On the Waterfront,,,,,False,Single Winner
636,1955,28,ACTOR,Ernest Borgnine,Marty,Marty Pilletti,,,,True,Single Winner
637,1955,28,ACTOR IN A SUPPORTING ROLE,Jack Lemmon,Mister Roberts,Ensign Pulver,,,,True,Single Winner
638,1955,28,ACTRESS,Anna Magnani,The Rose Tattoo,Serafina Della Rose,,,,True,Single Winner
639,1955,28,ACTRESS IN A SUPPORTING ROLE,Jo Van Fleet,East of Eden,Kate,,,,True,Single Winner
640,1955,28,ART DIRECTION (Black-and-White),"Art Direction:  Hal Pereira, Tambi Larsen;  Set Decoration:  Sam Comer, Arthur Krams",The Rose Tattoo,,,,,True,Single Winner
641,1955,28,ART DIRECTION (Color),"Art Direction:  William Flannery, Jo Mielziner;  Set Decoration:  Robert Priestley",Picnic,,,,,True,Single Winner
642,1955,28,BEST MOTION PICTURE,"Harold Hecht, Producer",Marty,,,,,False,Single Winner
643,1955,28,CINEMATOGRAPHY (Black-and-White),James Wong Howe,The Rose Tattoo,,,,,False,Single Winner
644,1955,28,CINEMATOGRAPHY (Color),Robert Burks,To Catch a Thief,,,,,False,Single Winner
645,1955,28,COSTUME DESIGN (Black-and-White),Helen Rose,I'll Cry Tomorrow,,,,,False,Single Winner
646,1955,28,COSTUME DESIGN (Color),Charles LeMaire,Love Is a Many-Splendored Thing,,,,,False,Single Winner
647,1955,28,DIRECTING,Delbert Mann,Marty,,,,,True,Single Winner
648,1955,28,DOCUMENTARY (Feature),"Nancy Hamilton, Producer",Helen Keller in Her Story,,,,,False,Single Winner
649,1955,28,DOCUMENTARY (Short Subject),"Walt Disney, Producer",Men against the Arctic,,,,,False,Single Winner
650,1955,28,FILM EDITING,"Charles Nelson, William A. Lyon",Picnic,,,,,False,Single Winner
651,1955,28,HONORARY FOREIGN LANGUAGE FILM AWARD,,,,"To Samurai, The Legend of Musashi - Best Foreign Language Film first released in the United States during 1955.",,,False,Single Winner
652,1955,28,MUSIC (Music Score of a Dramatic or Comedy Picture),Alfred Newman,Love Is a Many-Splendored Thing,,,,,False,Single Winner
653,1955,28,MUSIC (Scoring of a Musical Picture),"Robert Russell Bennett, Jay Blackton, Adolph Deutsch",Oklahoma!,,,,,False,Single Winner
654,1955,28,MUSIC (Song),Music by Sammy Fain; Lyrics by Paul Francis Webster,Love Is a Many-Splendored Thing,,,,,False,Single Winner
655,1955,28,SCIENTIFIC OR TECHNICAL AWARD (Class I),,,,To the NATIONAL CARBON CO. for the development and production of a high efficiency yellow flame carbon for motion picture color photography.,,,False,Single Winner
656,1955,28,SCIENTIFIC OR TECHNICAL AWARD (Class II),,,,To the EASTMAN KODAK CO. for Eastman Tri-X Panchromatic Negative Film.,,,False,Single Winner
657,1955,28,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,To 20TH CENTURY-FOX STUDIO and the BAUSCH & LOMB CO. for the new combination lenses for CinemaScope Photography.,,,False,Single Winner
658,1955,28,SHORT SUBJECT (Cartoon),"Edward Selzer, Producer",Speedy Gonzales,,,,,False,Single Winner
659,1955,28,SHORT SUBJECT (One-reel),"Edmund Reek, Producer",Survival City,,,,,False,Single Winner
660,1955,28,SHORT SUBJECT (Two-reel),"Wilbur T. Blume, Producer",The Face of Lincoln,,,,,False,Single Winner
661,1955,28,SOUND RECORDING,"Todd-AO Sound Department, Fred Hynes, Sound Director",Oklahoma!,,,,,False,Single Winner
662,1955,28,SPECIAL EFFECTS,Paramount Studio,The Bridges at Toko-Ri,,,,,False,Single Winner
663,1955,28,WRITING (Motion Picture Story),Daniel Fuchs,Love Me or Leave Me,,,,,False,Single Winner
664,1955,28,WRITING (Screenplay),Paddy Chayefsky,Marty,,,,,False,Single Winner
665,1955,28,WRITING (Story and Screenplay),"William Ludwig, Sonya Levien",Interrupted Melody,,,,,False,Single Winner
666,1956,29,ACTOR,Yul Brynner,The King and I,The King,,,,True,Single Winner
667,1956,29,ACTOR IN A SUPPORTING ROLE,Anthony Quinn,Lust for Life,Paul Gauguin,,,,True,Single Winner
668,1956,29,ACTRESS,Ingrid Bergman,Anastasia,The Woman,,,,True,Single Winner
669,1956,29,ACTRESS IN A SUPPORTING ROLE,Dorothy Malone,Written on the Wind,Marylee Hadley,,,,True,Single Winner
670,1956,29,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, Malcolm F. Brown;  Set Decoration:  Edwin B. Willis, F. Keogh Gleason",Somebody Up There Likes Me,,,,,True,Single Winner
671,1956,29,ART DIRECTION (Color),"Art Direction:  Lyle R. Wheeler, John DeCuir;  Set Decoration:  Walter M. Scott, Paul S. Fox",The King and I,,,,,True,Single Winner
672,1956,29,BEST MOTION PICTURE,"Michael Todd, Producer",Around the World in 80 Days,,,,,False,Single Winner
673,1956,29,CINEMATOGRAPHY (Black-and-White),Joseph Ruttenberg,Somebody Up There Likes Me,,,,,False,Single Winner
674,1956,29,CINEMATOGRAPHY (Color),Lionel Lindon,Around the World in 80 Days,,,,,False,Single Winner
675,1956,29,COSTUME DESIGN (Black-and-White),Jean Louis,The Solid Gold Cadillac,,,,,False,Single Winner
676,1956,29,COSTUME DESIGN (Color),Irene Sharaff,The King and I,,,,,False,Single Winner
677,1956,29,DIRECTING,George Stevens,Giant,,,,,True,Single Winner
678,1956,29,DOCUMENTARY (Feature),"Jacques-Yves Cousteau, Producer",The Silent World,,,,,False,Single Winner
679,1956,29,DOCUMENTARY (Short Subject),"Louis Clyde Stoumen, Producer",The True Story of the Civil War,,,,,False,Single Winner
680,1956,29,FILM EDITING,"Gene Ruggiero, Paul Weatherwax",Around the World in 80 Days,,,,,False,Single Winner
681,1956,29,FOREIGN LANGUAGE FILM,"Italy; Dino De Laurentiis and Carlo Ponti, Producers",La Strada,,,,"For the 29th Academy Awards, the name(s) of the producer(s) were included in the nomination for the Foreign Language Film category.",False,Single Winner
682,1956,29,HONORARY AWARD,,,,To Eddie Cantor for distinguished service to the film industry.,,,False,Single Winner
683,1956,29,IRVING G. THALBERG MEMORIAL AWARD,Buddy Adler,,,,,,False,Single Winner
684,1956,29,JEAN HERSHOLT HUMANITARIAN AWARD,Y. Frank Freeman,,,,,,False,Single Winner
685,1956,29,MUSIC (Music Score of a Dramatic or Comedy Picture),Victor Young,Around the World in 80 Days,,,,,False,Single Winner
686,1956,29,MUSIC (Scoring of a Musical Picture),"Alfred Newman, Ken Darby",The King and I,,,,,False,Single Winner
687,1956,29,MUSIC (Song),Music and Lyrics by Jay Livingston and Ray Evans,The Man Who Knew Too Much,,,,,False,Single Winner
688,1956,29,SCIENTIFIC OR TECHNICAL AWARD (Class III),,,,"To RICHARD H. RANGER of Rangertone, Inc., for the development of a synchronous recording and reproducing system for quarter-inch magnetic tape.",,,False,Single Winner
689,1956,29,SHORT SUBJECT (Cartoon),"Stephen Bosustow, Producer",Mister Magoo's Puddle Jumper,,,,,False,Single Winner
690,1956,29,SHORT SUBJECT (One-reel),"Konstantin Kalser, Producer",Crashing the Water Barrier,,,,,False,Single Winner
691,1956,29,SHORT SUBJECT (Two-reel),Romulus Films,The Bespoke Overcoat,,,,,False,Single Winner
692,1956,29,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Carl Faulkner, Sound Director",The King and I,,,,,False,Single Winner
693,1956,29,SPECIAL EFFECTS,John Fulton,The Ten Commandments,,,,,False,Single Winner
694,1956,29,WRITING (Motion Picture Story),Dalton Trumbo,The Brave One,,,,"The name of the writer credited with authorship, Robert Rich, turned out to be an alias.  Two decades later, the mystery was officially solved and the Academy statuette went (on May 2, 1975, presented by then Academy president Walter Mirisch) to its rightful owner, screenwriter Dalton Trumbo, blacklisted in 1956 by the industry for political affiliations.  Robert Rich (who had nothing to do with the film industry) is a nephew of the King Brothers, producers of the film.  They chose his name to be the alias for Dalton Trumbo on the screenplay.",False,Single Winner
695,1956,29,WRITING (Screenplay--Adapted),"James Poe, John Farrow, S.J. Perelman",Around the World in 80 Days,,,,,False,Single Winner
696,1956,29,WRITING (Screenplay--Original),Albert Lamorisse,The Red Balloon,,,,,False,Single Winner
697,1957,30,ACTOR,Alec Guinness,The Bridge on the River Kwai,Colonel Nicholson,,,,True,Single Winner
698,1957,30,ACTOR IN A SUPPORTING ROLE,Red Buttons,Sayonara,Joe Kelly,,,,True,Single Winner
699,1957,30,ACTRESS,Joanne Woodward,The Three Faces of Eve,Eve White/Eve Black/Jane,,,,True,Single Winner
700,1957,30,ACTRESS IN A SUPPORTING ROLE,Miyoshi Umeki,Sayonara,Katsumi,,,,True,Single Winner
701,1957,30,ART DIRECTION,Art Direction:  Ted Haworth;  Set Decoration:  Robert Priestley,Sayonara,,,,,True,Single Winner
702,1957,30,BEST MOTION PICTURE,"Sam Spiegel, Producer",The Bridge on the River Kwai,,,,,False,Single Winner
703,1957,30,CINEMATOGRAPHY,Jack Hildyard,The Bridge on the River Kwai,,,,,False,Single Winner
704,1957,30,COSTUME DESIGN,Orry-Kelly,Les Girls,,,,,False,Single Winner
705,1957,30,DIRECTING,David Lean,The Bridge on the River Kwai,,,,,True,Single Winner
706,1957,30,DOCUMENTARY (Feature),"Jerome Hill, Producer",Albert Schweitzer,,,,,False,Single Winner
707,1957,30,FILM EDITING,Peter Taylor,The Bridge on the River Kwai,,,,,False,Single Winner
708,1957,30,FOREIGN LANGUAGE FILM,Italy,The Nights of Cabiria,,,,,False,Single Winner
709,1957,30,HONORARY AWARD,,,,To Charles Brackett for outstanding service to the Academy.,,,False,Single Winner
710,1957,30,JEAN HERSHOLT HUMANITARIAN AWARD,Samuel Goldwyn,,,,,,False,Single Winner
711,1957,30,MUSIC (Scoring),Malcolm Arnold,The Bridge on the River Kwai,,,,,False,Single Winner
712,1957,30,MUSIC (Song),Music by James Van Heusen; Lyrics by Sammy Cahn,The Joker Is Wild,,,,,False,Single Winner
